date,id,name_en,name_ru,status,comment
2026-03-18,aries,Aries,Овен,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-18,taurus,Taurus,Телец,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-18,gemini,Gemini,Близнецы,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-18,cancer,Cancer,Рак,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-18,leo,Leo,Лев,good,"Звезды говорят, что сегодня благоприятный день для деплоя в прод"
2026-03-18,virgo,Virgo,Дева,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-18,libra,Libra,Весы,good,"Звезды говорят, что сегодня благоприятный день для деплоя в прод"
2026-03-18,scorpio,Scorpio,Скорпион,good,"Звезды говорят, что сегодня благоприятный день для деплоя в прод"
2026-03-18,sagittarius,Sagittarius,Стрелец,neutral,Последствия деплоя в продакшн сегодня непредсказуемы
2026-03-18,capricorn,Capricorn,Козерог,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-18,aquarius,Aquarius,Водолей,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
2026-03-18,pisces,Pisces,Рыбы,bad,"Воздержаться от деплоя в прод сегодня – это хорошая идея, шепчут звёзды"
